Airline Name,Airline Country,Airline Code
Kenmore Air,M5 / KEN,M5
Kenn Borek Air,4K / KBA,4K
Kenya Airways,KQ / KQA,KQ
Key Lime Air,KG / LYM,KG
KLM,KL / KLM,KL
KM Malta Airlines,KM / KMM,KM
Korean Air,KE / KAL,KE
Krasavia,KV / SSJ,KV
Kunming Airlines,KY / KNA,KY
Kuwait Airways,KU / KAC,KU
La Compagnie,B0 / DJT,B0
La Costena,LC / NIS,LC
LAM,TM / LAM,TM
Lao Airlines,QV / LAO,QV
Lao Skyway,LK / LLL,LK
LAS Cargo,4L / LAU,4L
Laser Airlines,QL / LER,QL
LATAM Airlines,LA / LAN,LA
LATAM Cargo,UC / LCO,UC
Lauda Europe,LW / LDA,LW
LEAV Aviation,KK / NGN,KK
Legend Airlines,LZ / LAL,LZ
Libyan Airlines,LN / LAA,LN
Libyan Wings,YL / LWA,YL
Lift,GE / GBB,GE
Lion Air,JT / LNI,JT
Lipican Aer,8I / LIP,8I
Liz Aviation,L0 / LAZ,L0
Loganair,LM / LOG,LM
LongJiang Airlines,LT / SNG,LT
Longtail Aviation,6T / LGT,6T
Loong Air,GJ / CDC,GJ
LOT,LO / LOT,LO
Lucky Air,8L / LKE,8L
Lufthansa,LH / DLH,LH
Lufthansa City,VL / LHX,VL
Lumiwings,L9 / LWI,L9
Luxair,LG / LGL,LG
Luxwing,BN / LWG,BN
Lynden Air Cargo,L2 / LYC,L2
MAE Aircraft Management,MA / MEN,MA
Maersk,DJ / SRR,DJ
Magnicharters,UJ / GMT,UJ
Mahan Air,W5 / IRM,W5
Malawi Airlines,3W / MWI,3W
Malaysia - Air Force,RMF,
Malaysia Airlines,MH / MAS,MH
Maldivian,Q2 / DQA,Q2
Maleth-Aero,DB / MLT,DB
Malta Air,MW / MAY,MW
Malta MedAir,MT / MMO,MT
Manasik Aviation,XN / MNM,XN
Mandarin Airlines,AE / MDA,AE
Mann Yadanarpon Airlines,7Y / MYP,7Y
Manta Air,NR / MAV,NR
Map Linhas Aereas,7M / PAM,7M
Marabu,DI / MBU,DI
Marathon Airlines,O8 / MTO,O8
Martinair Holland,MP / MPH,MP
mas,M7 / MAA,M7
MASwings,MY / MWG,MY
Mauritania Airlines International,L6 / MAI,L6
Mavi Gok Airlines,4M / MGH,4M
Max Air,VM / NGL,VM
Maximus Airlines,6M / MXM,6M
Maya Island Air,2M / MYD,2M
Middle East Airlines,ME / MEA,ME
Medsky Airways,BM / MNS,BM
Mesa Airlines,YV / ASH,YV
Mexicana,XN / MXA,XN
MHS Aviation,M2 / MHV,M2
MIAT Mongolian Airlines,OM / MGL,OM
Mingalar,K7 / KBZ,K7
MJets Air,WW / KXP,WW
MNG Airlines,MB / MNB,MB
Modern Logistics,WD / MWM,WD
Monacair,QM / MCR,QM
Mongolian Airways,XF / MGW,XF
Motor Sich Airlines,M9 / MSI,M9
My Freighter,C6 / MFX,C6
My Indo Airlines,2Y / MYU,2Y
Myanmar Airways International,8M / MMA,8M
Myanmar National Airlines,UB / UBA,UB
MyWay Airlines,MJ / MYW,MJ
Nam Air,IN / LKN,IN
National Airlines,N8 / NCR,N8
National Jet Express,NC / JTE,NC
Nauru Airlines,ON / RON,ON
Neos,NO / NOS,NO
Nepal Airlines,RA / RNA,RA
Nesma Airlines,NE / NMA,NE
New England Airlines,EJ / NEA,EJ
New Pacific Airlines,7H / RVF,7H
New Way Cargo Airlines,NU / NWY,NU
NG Eagle,2N / XLE,2N
Nile Air,NP / NIA,NP
Nippon Cargo Airlines,KZ / NCA,KZ
Nok Air,DD / NOK,DD
Nolinor Aviation,N5 / NRL,N5
NordStar,Y7 / TYA,Y7
Nordwind Airlines,N4 / NWS,N4
Norse,N0 / NBT,N0
North-West Air Company,0E / NWC,0E
North-Western Cargo International Airlines,CO / CNW,CO
North-Wright Airways,HW / NWL,HW
Northern Air Cargo,NC / NAC,NC
Northwestern Air,J3 / PLR,J3
Norwegian,DY / NOZ,DY
Nouvelair Tunisie,BJ / LBT,BJ
Novair,NG / NAI,NG
Novoair,VQ / NVQ,VQ
Nyxair,OJ / NYX,OJ
Okay Airways,BK / OKA,BK
Olympic Air,OA / OAL,OA
Oman Air,WY / OMA,WY
One Air,HC / HGO,HC
Oriental Air Bridge,OC / ORC,OC
Origin Air,OG / OGN,OG
Overland Airways,OF / OLA,OF
Pacific Coastal Airlines,8P / PCO,8P
Pakistan International Airlines,PK / PIA,PK
PAL Airlines,PB / PVL,PB
Panorama Airways,5P / UZP,5P
Paranair,ZP / AZP,ZP
Pascan Aviation,P6 / PSC,P6
PassionAir,OP / DIG,OP
Peach,MM / APJ,MM
Pegasus,PC / PGT,PC
Pelita Air,IP / PAS,IP
People's,PE / PEV,PE
Perimeter Aviation,YP / PAG,YP
Petroleum Air Service,UF / PER,UF
Philippine Airlines,PR / PAL,PR
Phoenix Air,PH / GRB,PH
Pivot Airlines,ZX / GGN,ZX
Play,OG / FPY,OG
Plus Ultra,PU / PUE,PU
PNG Air,CG / TOK,CG
Pobeda,DP / PBD,DP
Polar Airlines,PI / RKA,PI
populAir,HP / APF,HP
Porter,P3 / PTR,P3
Poste Air Cargo,M4 / MSA,M4
Pradhaan Air Express,6P / PRX,6P
Precision Air,PW / PRF,PW
Private Wings,JW / PWF,JW
Privilege Style,P6 / PVG,P6
Proflight Zambia,P0 / PFZ,P0
Qanot Sharq,HH / QNT,HH
Qantas,QF / QFA,QF
Qatar Airways,QR / QTR,QR
Qatar Executive,QE / QQE,QE
Qazaq Air,IQ / QAZ,IQ
Qeshm Airlines,QB / QSM,QB
Qingdao Airlines,QW / QDA,QW
Quikjet Cargo Airlines,QO / FQA,QO
RAF-Avia,MT / MTL,MT
Rano Air,R4 / RAN,R4
Raya Airways,TH / RMY,TH
Red Air,L5 / REA,L5
Red Sea Airlines,4S / RSX,4S
Red Wings,WZ / RWZ,WZ
Republic Airways,YX / RPA,YX
rex. Regional Express,ZL / RXA,ZL
Rimbun Air,RI / OEY,RI
RiseAir,4T / WEW,4T
ROMCargo Airlines,NJ / RCR,NJ
Rossiya,FV / SDM,FV
Rotana Jet,RG / RJD,RG
Royal Air Maroc,AT / RAM,AT
Royal Brunei Airlines,BI / RBA,BI
Royal Jordanian,RJ / RJA,RJ
Royalair Philippines,RW / RYL,RW
Ruili Airlines,DR / RLH,DR
Rusline,7R / RLU,7R
Rutaca Airlines,5R / RUC,5R
RwandAir,WB / RWD,WB
Ryan Air (USA),7S / RYA,7S
Ryanair,FR / RYR,FR
S7 Airlines,S7 / SBI,S7
Safarilink Aviation,F2 / XLK,F2
SalamAir,OV / OMS,OV
Samoa Airways,OL / PAO,OL
Sansa,RZ / LRS,RZ
Sapsan Airline,S2 / KGB,S2
SAS,SK / SAS,SK
SATA Air Acores,SP / SAT,SP
Satena,9R / NSE,9R
Saudia,SV / SVA,SV
SCAT,DV / VSV,DV
Scoot,TR / TGW,TR
SEair International,XO / SGD,XO
Sepehran Airlines,IS / SHI,IS
Serene Air,ER / SEP,ER
Severstal Aircompany,D2 / SSF,D2
SF Airlines,O3 / CSS,O3
Shandong Airlines,SC / CDG,SC
Shanghai Airlines,FM / CSH,FM
Shenzhen Airlines,ZH / CSZ,ZH
Shirak Avia,5G / SHS,5G
